nr,lr,b1,b2,energy,,,accuracy,best_acc
DensePolyNN,,,,,,,,
random_uniform,,,,,,,,
24,0.000925721,0.919332494,0.803117176,264.7253355,,,0.8377,0.84145
25,0.001260695,0.972174467,0.953487166,263.5238662,,,0.838675,0.84145
26,0.005126148,0.966418498,0.996809304,264.4700333,,,0.8295625,0.84145
27,0.003364185,0.990779953,0.865066778,264.0333271,,,0.8336,0.84145
28,0.00027888,0.602351761,0.82433705,263.8272778,,,0.8423125,0.8423125
29,0.000690918,0.559004004,0.957950684,263.8381526,,,0.8396375,0.8423125
30,0.000182951,0.507671822,0.801241689,263.047873,,,0.8424875,0.8424875
31,0.027355844,0.365182135,0.829622639,259.7104208,,,0.2092625,0.8424875
32,0.098017162,0.622351494,0.827016158,256.1737191,,,0.18065,0.8424875
33,0.060567889,0.995591899,0.850763958,260.7638728,,,0.2215,0.8424875
34,8.97E-05,0.526741501,0.895241766,264.5148674,,,0.84525,0.84525
35,0.000549656,0.738109117,0.985722566,263.9444794,,,0.8421875,0.84525
36,0.00256135,0.159399538,0.800678659,264.4272178,,,0.827625,0.84525
37,0.00151148,0.622042836,0.998925382,264.0166871,,,0.8359875,0.84525
38,0.001002062,0.129132714,0.94367189,263.6865524,,,0.8412625,0.84525
39,0.002986333,0.112558615,0.836808814,263.7395641,,,0.728775,0.84525
40,0.001973718,0.983781042,0.950099414,263.7011066,,,0.837925,0.84525
41,0.000405473,0.58666543,0.935687558,262.7933396,,,0.8418375,0.84525
42,0.001783268,0.993792247,0.97617456,264.1251028,,,0.840775,0.84525
43,0.002165158,0.783744238,0.996191235,265.7437536,,,0.8376125,0.84525
44,0.013270011,0.148923252,0.998682026,261.9786,,,0.2948375,0.84525
